Date,Price_IDR,Open_IDR,High_IDR,Low_IDR,Volume_IDR,Year,Month,Day,Price_Change
2014-01-01,5651089,5630621,5661801,5612449,560480,2014,1,1,
2014-01-02,5733918,5677105,5748264,5677105,600651,2014,1,2,82829.0
2014-01-03,5686478,5744630,5762611,5650515,583434,2014,1,3,-47440.0
2014-01-04,5600780,5600780,5600780,5600780,0,2014,1,4,-85698.0
2014-01-06,5570174,5604797,5622970,5557166,4663650,2014,1,6,-30606.0
2014-01-07,5539567,5572278,5584712,5530576,3579036,2014,1,7,-30607.0
2014-01-08,5534785,5531342,5552957,5512978,3470001,2014,1,8,-4782.0
2014-01-09,5546836,5545497,5557548,5521586,2894218,2014,1,9,12051.0
2014-01-10,5579738,5553149,5585285,5539758,3024295,2014,1,10,32902.0
2014-01-13,5607092,5579929,5610536,5572852,2635976,2014,1,13,27354.0
2014-01-14,5585285,5602693,5622013,5577060,2027674,2014,1,14,-21807.0
2014-01-15,5576104,5578208,5581842,5547793,2674234,2014,1,15,-9181.0
2014-01-16,5579547,5578973,5595232,5564626,2406428,2014,1,16,3443.0
2014-01-17,5621057,5572660,5626795,5557740,3374356,2014,1,17,41510.0
2014-01-20,5626604,5625839,5642864,5622396,1805778,2014,1,20,5547.0
2014-01-21,5616657,5622396,5626030,5596380,3483391,2014,1,21,-9947.0
2014-01-22,5598867,5615127,5628900,5592172,2850221,2014,1,22,-17790.0
2014-01-23,5622778,5591407,5636934,5569600,5899384,2014,1,23,23911.0
2014-01-24,5657210,5623735,5680548,5613405,3900403,2014,1,24,34432.0
2014-01-27,5720527,5677870,5725118,5677870,4231335,2014,1,27,63317.0
2014-01-28,5667540,5714024,5714024,5659506,3468088,2014,1,28,-52987.0
2014-01-29,5707137,5656445,5717658,5639038,3470001,2014,1,29,39597.0
2014-01-30,5642864,5709815,5722058,5637316,3043424,2014,1,30,-64273.0
2014-01-31,5639612,5639420,5677296,5615318,2907608,2014,1,31,-3252.0
2014-02-03,5698338,5643438,5710006,5624309,2249570,2014,2,3,58726.0
2014-02-04,5649559,5685521,5704459,5646881,604476,2014,2,4,-48779.0
2014-02-05,5684948,5645924,5757829,5645924,858892,2014,2,5,35389.0
2014-02-06,5591598,5599632,5633108,5587772,3550342,2014,2,6,-93350.0
2014-02-07,5606710,5596954,5631578,5596954,2796660,2014,2,7,15112.0
2014-02-10,5637508,5614170,5652428,5614170,2278264,2014,2,10,30798.0
2014-02-11,5675574,5643055,5681313,5643055,2819615,2014,2,11,38066.0
2014-02-12,5680930,5671748,5685904,5658358,2060193,2014,2,12,5356.0
2014-02-13,5686287,5673661,5690495,5663140,2385386,2014,2,13,5357.0
2014-02-14,5725692,5690878,5728944,5690878,2266786,2014,2,14,39405.0
2014-02-17,5865717,5734492,5878533,5732961,5317862,2014,2,17,140025.0
2014-02-18,5885228,5853474,5889819,5836449,3477652,2014,2,18,19511.0
2014-02-19,5874898,5869925,5904166,5816172,3963529,2014,2,19,-10330.0
2014-02-20,5855004,5868777,5868777,5835684,2383473,2014,2,20,-19894.0
2014-02-21,5868203,5851561,5881976,5838553,2358606,2014,2,21,13199.0
2014-02-24,5916026,5859787,5925208,5859787,2467641,2014,2,24,47823.0
2014-02-25,5924634,5916408,5929799,5894984,2440860,2014,2,25,8608.0
2014-02-26,5893645,5920617,5924060,5868203,2819615,2014,2,26,-30989.0
2014-02-27,5899192,5907800,5914113,5889437,843589,2014,2,27,5547.0
2014-02-28,5859978,5895558,5909905,5847161,3098898,2014,2,28,-39214.0
2014-03-03,6131036,5872603,6174650,5872603,1084614,2014,3,3,271058.0
2014-03-04,5954093,6025635,6193779,5947206,250590,2014,3,4,-176943.0
2014-03-05,6188423,5968248,6216925,5885993,285022,2014,3,5,234330.0
2014-03-06,5818277,5805652,5824015,5758785,4112735,2014,3,6,-370146.0
2014-03-07,5797426,5807756,5837023,5763568,3707200,2014,3,7,-20851.0
2014-03-10,5801252,5787096,5805652,5766437,2582415,2014,3,10,3826.0
2014-03-11,5819233,5796278,5837214,5770454,4432189,2014,3,11,17981.0
2014-03-12,5858639,5828224,5870690,5828224,3638336,2014,3,12,39406.0
2014-03-13,5872029,5868203,5879298,5832815,2942040,2014,3,13,13390.0
2014-03-14,5876238,5878342,5901105,5855387,3642162,2014,3,14,4209.0
2014-03-17,5845249,5872412,5874516,5839127,992795,2014,3,17,-30989.0
2014-03-18,5813112,5836449,5836449,5798191,3049163,2014,3,18,-32137.0
2014-03-19,5771028,5813686,5818277,5762037,2616847,2014,3,19,-42084.0
2014-03-20,5724162,5759742,5770837,5716702,2679973,2014,3,20,-46866.0
2014-03-21,5710006,5718232,5745969,5703694,2287828,2014,3,21,-14156.0
2014-03-24,5582225,5702355,5702355,5574382,3443220,2014,3,24,-127781.0
2014-03-25,5541863,5591407,5608049,5534211,3888926,2014,3,25,-40362.0
2014-03-26,5469938,5551236,5555635,5420202,3184978,2014,3,26,-71925.0
2014-03-27,5455782,5476824,5497675,5423263,3295927,2014,3,27,-14156.0
2014-03-28,5439140,5449470,5476633,5396865,3460436,2014,3,28,-16642.0
2014-03-31,5446026,5437801,5504944,5421159,2419818,2014,3,31,6886.0
2014-04-01,5378310,5438757,5453104,5367215,1691004,2014,4,1,-67716.0
2014-04-02,5433401,5362815,5446026,5233886,91819,2014,4,2,55091.0
2014-04-03,5444113,5451765,5489832,5425941,21042,2014,4,3,10712.0
2014-04-04,5455400,5432636,5525412,5432636,36345,2014,4,4,11287.0
2014-04-05,5461138,5461138,5461138,5461138,0,2014,4,5,5738.0
2014-04-07,5465920,5470703,5479119,5448130,1998980,2014,4,7,4782.0
2014-04-08,5500353,5478354,5517186,5478354,1098005,2014,4,8,34433.0
2014-04-09,5491936,5500353,5519864,5481032,2318435,2014,4,9,-8417.0
2014-04-10,5565391,5500927,5570174,5500927,2620673,2014,4,10,73455.0
2014-04-11,5563670,5564626,5578399,5542245,2014284,2014,4,11,-1721.0
2014-04-14,5614362,5565583,5618379,5565583,1164956,2014,4,14,50692.0
2014-04-15,5612831,5602310,5622970,5558696,4095519,2014,4,15,-1531.0
2014-04-16,5602884,5600971,5608623,5528281,3171588,2014,4,16,-9947.0
2014-04-17,5603458,5596380,5621248,5582799,2000893,2014,4,17,574.0
2014-04-19,5612257,5612257,5612257,5612257,0,2014,4,19,8799.0
2014-04-21,5652237,5587007,5661993,5561183,2651279,2014,4,21,39980.0
2014-04-22,5628326,5652620,5671557,5620291,2238093,2014,4,22,-23911.0
